code,nationality_code,disciplines,birth_date
1532872,ARM,['Wrestling'],1991/10/21
1532873,ARM,['Wrestling'],1999/1/22
1532874,ARM,['Wrestling'],1996/12/21
1532944,ARM,['Wrestling'],1999/11/22
1532945,ARM,['Wrestling'],1999/10/27
1532951,COL,['Athletics'],1993/9/17
1533112,JAM,['Judo'],1989/7/17
1533136,GAM,['Athletics'],1995/5/3
1533176,GAM,['Athletics'],1996/9/18
1533188,MEX,['Triathlon'],1994/3/7
1533189,MEX,['Triathlon'],1997/8/27
1533190,MEX,['Triathlon'],1987/5/6
1533208,COM,['Athletics'],1997/2/13
1533209,COM,['Swimming'],2007/1/16
1533230,MEX,['Artistic Swimming'],1990/8/22
1533231,MEX,['Artistic Swimming'],1993/8/19
1533232,MEX,['Artistic Swimming'],1994/5/26
1533234,MEX,['Artistic Swimming'],1997/12/1
1533235,MEX,['Artistic Swimming'],2002/2/28
1533237,MEX,['Artistic Swimming'],2000/1/13
1533239,MEX,['Artistic Swimming'],2003/11/14
1533240,MEX,['Artistic Swimming'],1994/12/5
1533243,MEX,['Artistic Swimming'],2000/3/12
1533245,IRQ,['Judo'],1996/3/8
1533359,IRQ,['Weightlifting'],2004/8/2
1533364,DJI,['Athletics'],1997/1/1
1533371,DJI,['Athletics'],1997/1/1
1533372,DJI,['Athletics'],1996/7/3
1533374,DJI,['Athletics'],1999/12/5
1533378,DJI,['Swimming'],2004/4/4
1535180,COM,['Canoe Slalom'],1997/11/29
1535186,MEX,['Boxing'],2001/3/17
1535187,MEX,['Boxing'],2002/2/11
1535191,MEX,['Athletics'],1999/1/2
1535195,MEX,['Athletics'],1997/8/2
1535199,MEX,['Athletics'],2000/10/5
1535201,MEX,['Athletics'],1995/9/8
1535202,MEX,['Athletics'],1994/3/6
1535203,MEX,['Athletics'],1996/6/14
1535212,MEX,['Athletics'],1997/2/25
1535214,MEX,['Athletics'],1991/10/5
1535216,MEX,['Athletics'],1997/12/26
1535217,MEX,['Athletics'],1995/4/15
1535222,MEX,['Athletics'],1992/3/18
1535225,MEX,['Sailing'],1993/4/18
1535226,MEX,['Sailing'],1999/3/12
1535252,MEX,['Rowing'],1994/6/26
1535260,MEX,['Rowing'],1997/5/1
1535267,MEX,['Rowing'],1992/7/8
1535310,COL,['Artistic Gymnastics'],2001/11/18
1535343,MEX,['Diving'],2002/4/30
1535345,MEX,['Diving'],2001/4/25
1535346,MEX,['Diving'],1997/4/19
1535348,MEX,['Diving'],2000/8/4
1535349,MEX,['Diving'],2004/6/5
1535350,MEX,['Equestrian'],1996/7/23
1535351,MEX,['Equestrian'],1968/3/28
1535354,MEX,['Swimming'],1994/8/9
1535356,MEX,['Artistic Gymnastics'],1994/8/8
1535357,MEX,['Artistic Gymnastics'],1996/10/5
1535358,MEX,['Rhythmic Gymnastics'],2004/12/20
1535359,MEX,['Rhythmic Gymnastics'],2004/4/24
1535360,MEX,['Rhythmic Gymnastics'],2002/6/21
1535361,MEX,['Rhythmic Gymnastics'],2004/1/2
1535362,MEX,['Rhythmic Gymnastics'],2007/9/13
1535363,MEX,['Modern Pentathlon'],1998/1/27
1535364,MEX,['Modern Pentathlon'],1997/3/24
1535365,MEX,['Modern Pentathlon'],1993/7/11
1535366,MEX,['Taekwondo'],1997/6/25
1535367,MEX,['Taekwondo'],1999/8/27
1535368,MEX,['Surfing'],2002/6/19
1535373,UAE,['Judo'],1998/6/9
1535374,UAE,['Judo'],1999/4/28
